participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P15,arousal,2,5,89,23,23,89,gnb,all_eeg,all_channels,8,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.53125,0.391304347826087,False
P15,arousal,2,5,89,23,23,89,logreg,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.5590277777777778,0.47916666666666663,False
P15,arousal,2,5,89,23,23,89,logreg,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.46527777777777773,0.4166666666666667,False
P15,arousal,2,5,89,23,23,89,logreg,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.4791666666666667,0.41304347826086957,False
P15,arousal,2,5,89,23,23,89,svm,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5388888888888889,0.5,False
P15,arousal,2,5,89,23,23,89,svm,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.4791666666666667,False
P15,arousal,2,5,89,23,23,89,svm,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5520833333333334,0.41304347826086957,False
P15,arousal,2,5,89,23,23,89,gnb,all_eeg,all_channels,10,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.5513888888888889,0.625,False
P15,arousal,2,5,89,23,23,89,gnb,all_eeg,all_channels,10,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.4458333333333333,0.4583333333333333,False
P15,arousal,2,5,89,23,23,89,gnb,all_eeg,all_channels,10,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.5,0.391304347826087,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.6041666666666666,0.4583333333333333,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.47500000000000003,0.3958333333333333,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.5520833333333334,0.41304347826086957,False
P15,arousal,2,5,89,23,23,89,svm,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.6354166666666666,0.5,False
P15,arousal,2,5,89,23,23,89,svm,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P15,arousal,2,5,89,23,23,89,svm,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5833333333333334,0.41304347826086957,False
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,8,secondary,64,1,"{""classifier__var_smoothing"": 1e-11}",0.5819444444444445,0.5208333333333334,False
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,8,secondary,64,2,"{""classifier__var_smoothing"": 1e-11}",0.3923611111111111,0.4375,False
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,8,secondary,64,3,"{""classifier__var_smoothing"": 1e-11}",0.5,0.3695652173913043,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5729166666666666,0.4791666666666667,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.49583333333333335,0.41666666666666663,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,all_channels,10,secondary,64,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.5520833333333334,0.41304347826086957,False
P15,arousal,2,5,89,23,23,89,svm,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5680555555555555,0.5,False
P15,arousal,2,5,89,23,23,89,svm,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5069444444444444,0.5,False
