participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P07,valence,2,5,93,23,24,92,svm,hjorth,all_channels,8,primary,16,3,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5229166666666667,0.5,False
P07,valence,2,5,93,23,24,92,gnb,hjorth,all_channels,8,primary,16,1,"{""classifier__var_smoothing"": 1e-11}",0.4583333333333333,0.5433333333333333,False
P07,valence,2,5,93,23,24,92,gnb,hjorth,all_channels,8,primary,16,2,"{""classifier__var_smoothing"": 1e-11}",0.5063725490196078,0.3541666666666667,False
P07,valence,2,5,93,23,24,92,gnb,hjorth,all_channels,8,primary,16,3,"{""classifier__var_smoothing"": 1e-11}",0.4491421568627451,0.5476190476190476,False
P07,valence,2,5,93,23,24,92,logreg,hjorth,all_channels,10,primary,16,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.525,0.55,False
P07,valence,2,5,93,23,24,92,logreg,hjorth,all_channels,10,primary,16,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.6073529411764707,0.49404761904761907,False
P07,valence,2,5,93,23,24,92,logreg,hjorth,all_channels,10,primary,16,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.525,0.45535714285714285,False
P07,valence,2,5,93,23,24,92,svm,hjorth,all_channels,10,primary,16,1,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.59375,0.5,False
P07,valence,2,5,93,23,24,92,svm,hjorth,all_channels,10,primary,16,2,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.6017156862745098,0.5,False
P07,valence,2,5,93,23,24,92,svm,hjorth,all_channels,10,primary,16,3,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5409313725490196,0.4583333333333333,False
P07,valence,2,5,93,23,24,92,gnb,hjorth,all_channels,10,primary,16,1,"{""classifier__var_smoothing"": 1e-11}",0.46875,0.5033333333333333,False
P07,valence,2,5,93,23,24,92,gnb,hjorth,all_channels,10,primary,16,2,"{""classifier__var_smoothing"": 1e-11}",0.6424019607843138,0.3541666666666667,False
P07,valence,2,5,93,23,24,92,gnb,hjorth,all_channels,10,primary,16,3,"{""classifier__var_smoothing"": 1e-11}",0.4485294117647059,0.46726190476190477,False
P07,valence,2,5,93,23,24,92,logreg,time_statistical,all_channels,all,primary,8,1,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.5020833333333333,0.5,False
P07,valence,2,5,93,23,24,92,logreg,time_statistical,all_channels,all,primary,8,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.6251225490196078,0.48511904761904756,False
P07,valence,2,5,93,23,24,92,logreg,time_statistical,all_channels,all,primary,8,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5602941176470587,0.4732142857142857,False
P07,valence,2,5,93,23,24,92,svm,time_statistical,all_channels,all,primary,8,1,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5708333333333333,0.48,False
P07,valence,2,5,93,23,24,92,svm,time_statistical,all_channels,all,primary,8,2,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.6017156862745098,0.5,False
P07,valence,2,5,93,23,24,92,svm,time_statistical,all_channels,all,primary,8,3,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5102941176470588,0.5,False
P07,valence,2,5,93,23,24,92,gnb,time_statistical,all_channels,all,primary,8,1,"{""classifier__var_smoothing"": 1e-11}",0.5145833333333333,0.4066666666666666,False
P07,valence,2,5,93,23,24,92,gnb,time_statistical,all_channels,all,primary,8,2,"{""classifier__var_smoothing"": 1e-11}",0.4438725490196078,0.5476190476190476,False
P07,valence,2,5,93,23,24,92,gnb,time_statistical,all_channels,all,primary,8,3,"{""classifier__var_smoothing"": 1e-11}",0.4230392156862745,0.5982142857142857,False
P07,valence,2,5,93,23,24,92,logreg,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.50625,0.44666666666666666,False
P07,valence,2,5,93,23,24,92,logreg,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.5963235294117647,0.49404761904761907,False
P07,valence,2,5,93,23,24,92,logreg,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.46617647058823525,0.5565476190476191,False
P07,valence,2,5,93,23,24,92,svm,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5145833333333333,0.5433333333333333,False
P07,valence,2,5,93,23,24,92,svm,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5676470588235295,0.5,False
P07,valence,2,5,93,23,24,92,svm,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5386904761904762,False
P07,valence,2,5,93,23,24,92,gnb,paper_compact,all_channels,8,secondary,64,1,"{""classifier__var_smoothing"": 1e-11}",0.4791666666666667,0.5066666666666667,False
P07,valence,2,5,93,23,24,92,gnb,paper_compact,all_channels,8,secondary,64,2,"{""classifier__var_smoothing"": 1e-11}",0.6634803921568627,0.2916666666666667,False
P07,valence,2,5,93,23,24,92,gnb,paper_compact,all_channels,8,secondary,64,3,"{""classifier__var_smoothing"": 1e-11}",0.5033088235294118,0.4464285714285714,False
P07,valence,2,5,93,23,24,92,logreg,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.48125,0.42333333333333334,False
P07,valence,2,5,93,23,24,92,logreg,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.565686274509804,0.4732142857142857,False
P07,valence,2,5,93,23,24,92,logreg,paper_compact,all_channels,10,secondary,64,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.4438725490196078,0.5565476190476191,False
P07,valence,2,5,93,23,24,92,svm,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P07,valence,2,5,93,23,24,92,svm,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5917892156862745,0.5,False
P07,valence,2,5,93,23,24,92,svm,paper_compact,all_channels,10,secondary,64,3,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.4583333333333333,False
